X,Y,Z,Vp,Vs,Vp/Vs
332.5,9071.5,-12.0,5.9,3.295,1.7905918057663128
332.5,9071.5,-16.0,6.48,3.655,1.7729138166894667
332.5,9071.5,-20.0,6.54,3.8,1.7210526315789474
332.5,9071.5,-24.0,6.985,4.09,1.7078239608801957
332.5,9071.5,-28.0,7.43,4.38,1.6963470319634704
332.5,9071.5,-52.0,7.43,4.38,1.6963470319634704
332.5,9074.5,8.0,2.64,1.97,1.3401015228426396
332.5,9074.5,4.0,2.64,1.97,1.3401015228426396
332.5,9074.5,0.0,3.595,2.325,1.5462365591397849
332.5,9074.5,-4.0,5.09,2.93,1.7372013651877132
332.5,9074.5,-8.0,5.26,3.02,1.7417218543046358
332.5,9074.5,-12.0,5.9,3.295,1.7905918057663128
332.5,9074.5,-16.0,6.48,3.655,1.7729138166894667
332.5,9074.5,-20.0,6.54,3.8,1.7210526315789474
332.5,9074.5,-24.0,6.985,4.09,1.7078239608801957
332.5,9074.5,-28.0,7.43,4.38,1.6963470319634704
332.5,9074.5,-52.0,7.43,4.38,1.6963470319634704
332.5,9077.5,8.0,2.64,1.97,1.3401015228426396
332.5,9077.5,4.0,2.64,1.97,1.3401015228426396
332.5,9077.5,0.0,3.595,2.325,1.5462365591397849
332.5,9077.5,-4.0,5.09,2.93,1.7372013651877132
332.5,9077.5,-8.0,5.26,3.02,1.7417218543046358
332.5,9077.5,-12.0,5.9,3.295,1.7905918057663128
332.5,9077.5,-16.0,6.48,3.655,1.7729138166894667
332.5,9077.5,-20.0,6.54,3.8,1.7210526315789474
332.5,9077.5,-24.0,6.985,4.09,1.7078239608801957
332.5,9077.5,-28.0,7.43,4.38,1.6963470319634704
332.5,9077.5,-52.0,7.43,4.38,1.6963470319634704
332.5,9080.5,8.0,2.64,1.97,1.3401015228426396
332.5,9080.5,4.0,2.64,1.97,1.3401015228426396
332.5,9080.5,0.0,3.595,2.325,1.5462365591397849
332.5,9080.5,-4.0,5.09,2.93,1.7372013651877132
332.5,9080.5,-8.0,5.26,3.02,1.7417218543046358
332.5,9080.5,-12.0,5.9,3.295,1.7905918057663128
332.5,9080.5,-16.0,6.48,3.655,1.7729138166894667
332.5,9080.5,-20.0,6.54,3.8,1.7210526315789474
332.5,9080.5,-24.0,6.985,4.09,1.7078239608801957
332.5,9080.5,-28.0,7.43,4.38,1.6963470319634704
332.5,9080.5,-52.0,7.43,4.38,1.6963470319634704
332.5,9083.5,8.0,2.64,1.97,1.3401015228426396
332.5,9083.5,4.0,2.64,1.97,1.3401015228426396
332.5,9083.5,0.0,3.595,2.325,1.5462365591397849
332.5,9083.5,-4.0,5.09,2.93,1.7372013651877132
332.5,9083.5,-8.0,5.26,3.02,1.7417218543046358
332.5,9083.5,-12.0,5.9,3.295,1.7905918057663128
332.5,9083.5,-16.0,6.48,3.655,1.7729138166894667
332.5,9083.5,-20.0,6.54,3.8,1.7210526315789474
332.5,9083.5,-24.0,6.985,4.09,1.7078239608801957
332.5,9083.5,-28.0,7.43,4.38,1.6963470319634704
332.5,9083.5,-52.0,7.43,4.38,1.6963470319634704
332.5,9086.5,8.0,2.64,1.97,1.3401015228426396
332.5,9086.5,4.0,2.64,1.97,1.3401015228426396
332.5,9086.5,0.0,3.595,2.325,1.5462365591397849
332.5,9086.5,-4.0,5.09,2.93,1.7372013651877132
332.5,9086.5,-8.0,5.26,3.02,1.7417218543046358
332.5,9086.5,-12.0,5.9,3.295,1.7905918057663128
332.5,9086.5,-16.0,6.48,3.655,1.7729138166894667
332.5,9086.5,-20.0,6.54,3.8,1.7210526315789474
332.5,9086.5,-24.0,6.985,4.09,1.7078239608801957
332.5,9086.5,-28.0,7.43,4.38,1.6963470319634704
332.5,9086.5,-52.0,7.43,4.38,1.6963470319634704
332.5,9089.5,8.0,2.64,1.97,1.3401015228426396
332.5,9089.5,4.0,2.64,1.97,1.3401015228426396
332.5,9089.5,0.0,3.595,2.325,1.5462365591397849
332.5,9089.5,-4.0,5.09,2.93,1.7372013651877132
332.5,9089.5,-8.0,5.26,3.02,1.7417218543046358
332.5,9089.5,-12.0,5.9,3.295,1.7905918057663128
332.5,9089.5,-16.0,6.48,3.655,1.7729138166894667
332.5,9089.5,-20.0,6.54,3.8,1.7210526315789474
332.5,9089.5,-24.0,6.985,4.09,1.7078239608801957
332.5,9089.5,-28.0,7.43,4.38,1.6963470319634704
332.5,9089.5,-52.0,7.43,4.38,1.6963470319634704
332.5,9092.5,8.0,2.64,1.97,1.3401015228426396
332.5,9092.5,4.0,2.64,1.97,1.3401015228426396
332.5,9092.5,0.0,3.595,2.325,1.5462365591397849
332.5,9092.5,-4.0,5.09,2.93,1.7372013651877132
332.5,9092.5,-8.0,5.26,3.02,1.7417218543046358
332.5,9092.5,-12.0,5.9,3.295,1.7905918057663128
332.5,9092.5,-16.0,6.48,3.655,1.7729138166894667
332.5,9092.5,-20.0,6.54,3.8,1.7210526315789474
332.5,9092.5,-24.0,6.985,4.09,1.7078239608801957
332.5,9092.5,-28.0,7.43,4.38,1.6963470319634704
332.5,9092.5,-52.0,7.43,4.38,1.6963470319634704
332.5,9095.5,8.0,2.64,1.97,1.3401015228426396
332.5,9095.5,4.0,2.64,1.97,1.3401015228426396
332.5,9095.5,0.0,3.595,2.325,1.5462365591397849
332.5,9095.5,-4.0,5.09,2.93,1.7372013651877132
332.5,9095.5,-8.0,5.26,3.02,1.7417218543046358
332.5,9095.5,-12.0,5.9,3.295,1.7905918057663128
332.5,9095.5,-16.0,6.48,3.655,1.7729138166894667
332.5,9095.5,-20.0,6.54,3.8,1.7210526315789474
332.5,9095.5,-24.0,6.985,4.09,1.7078239608801957
332.5,9095.5,-28.0,7.43,4.38,1.6963470319634704
332.5,9095.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9059.5,8.0,2.64,1.97,1.3401015228426396
335.5,9059.5,4.0,2.64,1.97,1.3401015228426396
335.5,9059.5,0.0,3.595,2.325,1.5462365591397849
335.5,9059.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9059.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9059.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9059.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9059.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9059.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9059.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9059.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9062.5,8.0,2.64,1.97,1.3401015228426396
335.5,9062.5,4.0,2.64,1.97,1.3401015228426396
335.5,9062.5,0.0,3.595,2.325,1.5462365591397849
335.5,9062.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9062.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9062.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9062.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9062.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9062.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9062.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9062.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9065.5,8.0,2.64,1.97,1.3401015228426396
335.5,9065.5,4.0,2.64,1.97,1.3401015228426396
335.5,9065.5,0.0,3.595,2.325,1.5462365591397849
335.5,9065.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9065.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9065.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9065.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9065.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9065.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9065.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9065.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9068.5,8.0,2.64,1.97,1.3401015228426396
335.5,9068.5,4.0,2.64,1.97,1.3401015228426396
335.5,9068.5,0.0,3.595,2.325,1.5462365591397849
335.5,9068.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9068.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9068.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9068.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9068.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9068.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9068.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9068.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9071.5,8.0,2.64,1.97,1.3401015228426396
335.5,9071.5,4.0,2.64,1.97,1.3401015228426396
335.5,9071.5,0.0,3.595,2.325,1.5462365591397849
335.5,9071.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9071.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9071.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9071.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9071.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9071.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9071.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9071.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9074.5,8.0,2.64,1.97,1.3401015228426396
335.5,9074.5,4.0,2.64,1.97,1.3401015228426396
335.5,9074.5,0.0,3.595,2.325,1.5462365591397849
335.5,9074.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9074.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9074.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9074.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9074.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9074.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9074.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9074.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9077.5,8.0,2.64,1.97,1.3401015228426396
335.5,9077.5,4.0,2.64,1.97,1.3401015228426396
335.5,9077.5,0.0,3.595,2.325,1.5462365591397849
335.5,9077.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9077.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9077.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9077.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9077.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9077.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9077.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9077.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9080.5,8.0,2.64,1.97,1.3401015228426396
335.5,9080.5,4.0,2.64,1.97,1.3401015228426396
335.5,9080.5,0.0,3.595,2.325,1.5462365591397849
335.5,9080.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9080.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9080.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9080.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9080.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9080.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9080.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9080.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9083.5,8.0,2.64,1.97,1.3401015228426396
335.5,9083.5,4.0,2.64,1.97,1.3401015228426396
335.5,9083.5,0.0,3.595,2.325,1.5462365591397849
335.5,9083.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9083.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9083.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9083.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9083.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9083.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9083.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9083.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9086.5,8.0,2.64,1.97,1.3401015228426396
335.5,9086.5,4.0,2.64,1.97,1.3401015228426396
335.5,9086.5,0.0,3.595,2.325,1.5462365591397849
335.5,9086.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9086.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9086.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9086.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9086.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9086.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9086.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9086.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9089.5,8.0,2.64,1.97,1.3401015228426396
335.5,9089.5,4.0,2.64,1.97,1.3401015228426396
335.5,9089.5,0.0,3.595,2.325,1.5462365591397849
335.5,9089.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9089.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9089.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9089.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9089.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9089.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9089.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9089.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9092.5,8.0,2.64,1.97,1.3401015228426396
335.5,9092.5,4.0,2.64,1.97,1.3401015228426396
335.5,9092.5,0.0,3.595,2.325,1.5462365591397849
335.5,9092.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9092.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9092.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9092.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9092.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9092.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9092.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9092.5,-52.0,7.43,4.38,1.6963470319634704
335.5,9095.5,8.0,2.64,1.97,1.3401015228426396
335.5,9095.5,4.0,2.64,1.97,1.3401015228426396
335.5,9095.5,0.0,3.595,2.325,1.5462365591397849
335.5,9095.5,-4.0,5.09,2.93,1.7372013651877132
335.5,9095.5,-8.0,5.26,3.02,1.7417218543046358
335.5,9095.5,-12.0,5.9,3.295,1.7905918057663128
335.5,9095.5,-16.0,6.48,3.655,1.7729138166894667
335.5,9095.5,-20.0,6.54,3.8,1.7210526315789474
335.5,9095.5,-24.0,6.985,4.09,1.7078239608801957
335.5,9095.5,-28.0,7.43,4.38,1.6963470319634704
335.5,9095.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9059.5,8.0,2.64,1.97,1.3401015228426396
338.5,9059.5,4.0,2.64,1.97,1.3401015228426396
338.5,9059.5,0.0,3.595,2.325,1.5462365591397849
338.5,9059.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9059.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9059.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9059.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9059.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9059.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9059.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9059.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9062.5,8.0,2.64,1.97,1.3401015228426396
338.5,9062.5,4.0,2.64,1.97,1.3401015228426396
338.5,9062.5,0.0,3.595,2.325,1.5462365591397849
338.5,9062.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9062.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9062.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9062.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9062.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9062.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9062.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9062.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9065.5,8.0,2.64,1.97,1.3401015228426396
338.5,9065.5,4.0,2.64,1.97,1.3401015228426396
338.5,9065.5,0.0,3.595,2.325,1.5462365591397849
338.5,9065.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9065.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9065.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9065.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9065.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9065.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9065.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9065.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9068.5,8.0,2.64,1.97,1.3401015228426396
338.5,9068.5,4.0,2.64,1.97,1.3401015228426396
338.5,9068.5,0.0,3.595,2.325,1.5462365591397849
338.5,9068.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9068.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9068.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9068.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9068.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9068.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9068.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9068.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9071.5,8.0,2.64,1.97,1.3401015228426396
338.5,9071.5,4.0,2.64,1.97,1.3401015228426396
338.5,9071.5,0.0,3.595,2.325,1.5462365591397849
338.5,9071.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9071.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9071.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9071.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9071.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9071.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9071.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9071.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9074.5,8.0,2.64,1.97,1.3401015228426396
338.5,9074.5,4.0,2.64,1.97,1.3401015228426396
338.5,9074.5,0.0,3.595,2.325,1.5462365591397849
338.5,9074.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9074.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9074.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9074.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9074.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9074.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9074.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9074.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9077.5,8.0,2.64,1.97,1.3401015228426396
338.5,9077.5,4.0,2.64,1.97,1.3401015228426396
338.5,9077.5,0.0,3.595,2.325,1.5462365591397849
338.5,9077.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9077.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9077.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9077.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9077.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9077.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9077.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9077.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9080.5,8.0,2.64,1.97,1.3401015228426396
338.5,9080.5,4.0,2.64,1.97,1.3401015228426396
338.5,9080.5,0.0,3.595,2.325,1.5462365591397849
338.5,9080.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9080.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9080.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9080.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9080.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9080.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9080.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9080.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9083.5,8.0,2.64,1.97,1.3401015228426396
338.5,9083.5,4.0,2.64,1.97,1.3401015228426396
338.5,9083.5,0.0,3.595,2.325,1.5462365591397849
338.5,9083.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9083.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9083.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9083.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9083.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9083.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9083.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9083.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9086.5,8.0,2.64,1.97,1.3401015228426396
338.5,9086.5,4.0,2.64,1.97,1.3401015228426396
338.5,9086.5,0.0,3.595,2.325,1.5462365591397849
338.5,9086.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9086.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9086.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9086.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9086.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9086.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9086.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9086.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9089.5,8.0,2.64,1.97,1.3401015228426396
338.5,9089.5,4.0,2.64,1.97,1.3401015228426396
338.5,9089.5,0.0,3.595,2.325,1.5462365591397849
338.5,9089.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9089.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9089.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9089.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9089.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9089.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9089.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9089.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9092.5,8.0,2.64,1.97,1.3401015228426396
338.5,9092.5,4.0,2.64,1.97,1.3401015228426396
338.5,9092.5,0.0,3.595,2.325,1.5462365591397849
338.5,9092.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9092.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9092.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9092.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9092.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9092.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9092.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9092.5,-52.0,7.43,4.38,1.6963470319634704
338.5,9095.5,8.0,2.64,1.97,1.3401015228426396
338.5,9095.5,4.0,2.64,1.97,1.3401015228426396
338.5,9095.5,0.0,3.595,2.325,1.5462365591397849
338.5,9095.5,-4.0,5.09,2.93,1.7372013651877132
338.5,9095.5,-8.0,5.26,3.02,1.7417218543046358
338.5,9095.5,-12.0,5.9,3.295,1.7905918057663128
338.5,9095.5,-16.0,6.48,3.655,1.7729138166894667
338.5,9095.5,-20.0,6.54,3.8,1.7210526315789474
338.5,9095.5,-24.0,6.985,4.09,1.7078239608801957
338.5,9095.5,-28.0,7.43,4.38,1.6963470319634704
338.5,9095.5,-52.0,7.43,4.38,1.6963470319634704
341.5,9059.5,8.0,2.64,1.97,1.3401015228426396
341.5,9059.5,4.0,2.64,1.97,1.3401015228426396
341.5,9059.5,0.0,3.595,2.325,1.5462365591397849
341.5,9059.5,-4.0,5.09,2.93,1.7372013651877132
341.5,9059.5,-8.0,5.26,3.02,1.7417218543046358
341.5,9059.5,-12.0,5.9,3.295,1.7905918057663128
341.5,9059.5,-16.0,6.48,3.655,1.7729138166894667
341.5,9059.5,-20.0,6.54,3.8,1.7210526315789474
341.5,9059.5,-24.0,6.985,4.09,1.7078239608801957
341.5,9059.5,-28.0,7.43,4.38,1.6963470319634704
341.5,9059.5,-52.0,7.43,4.38,1.6963470319634704
341.5,9062.5,8.0,2.64,1.97,1.3401015228426396
341.5,9062.5,4.0,2.64,1.97,1.3401015228426396
341.5,9062.5,0.0,3.595,2.325,1.5462365591397849
341.5,9062.5,-4.0,5.09,2.93,1.7372013651877132
341.5,9062.5,-8.0,5.26,3.02,1.7417218543046358
341.5,9062.5,-12.0,5.9,3.295,1.7905918057663128
341.5,9062.5,-16.0,6.48,3.655,1.7729138166894667
341.5,9062.5,-20.0,6.54,3.8,1.7210526315789474
341.5,9062.5,-24.0,6.985,4.09,1.7078239608801957
341.5,9062.5,-28.0,7.43,4.38,1.6963470319634704
341.5,9062.5,-52.0,7.43,4.38,1.6963470319634704
341.5,9065.5,8.0,2.64,1.97,1.3401015228426396
341.5,9065.5,4.0,2.64,1.97,1.3401015228426396
341.5,9065.5,0.0,3.595,2.325,1.5462365591397849
341.5,9065.5,-4.0,5.09,2.93,1.7372013651877132
341.5,9065.5,-8.0,5.26,3.02,1.7417218543046358
341.5,9065.5,-12.0,5.9,3.295,1.7905918057663128
341.5,9065.5,-16.0,6.48,3.655,1.7729138166894667
341.5,9065.5,-20.0,6.54,3.8,1.7210526315789474
341.5,9065.5,-24.0,6.985,4.09,1.7078239608801957
341.5,9065.5,-28.0,7.43,4.38,1.6963470319634704
341.5,9065.5,-52.0,7.43,4.38,1.6963470319634704
341.5,9068.5,8.0,2.64,1.97,1.3401015228426396
341.5,9068.5,4.0,2.64,1.97,1.3401015228426396
341.5,9068.5,0.0,3.595,2.325,1.5462365591397849
341.5,9068.5,-4.0,5.09,2.93,1.7372013651877132
341.5,9068.5,-8.0,5.26,3.02,1.7417218543046358
341.5,9068.5,-12.0,5.9,3.295,1.7905918057663128
341.5,9068.5,-16.0,6.48,3.655,1.7729138166894667
341.5,9068.5,-20.0,6.54,3.8,1.7210526315789474
341.5,9068.5,-24.0,6.985,4.09,1.7078239608801957
341.5,9068.5,-28.0,7.43,4.38,1.6963470319634704
341.5,9068.5,-52.0,7.43,4.38,1.6963470319634704
341.5,9071.5,8.0,2.64,1.97,1.3401015228426396
341.5,9071.5,4.0,2.64,1.97,1.3401015228426396
341.5,9071.5,0.0,3.595,2.325,1.5462365591397849
341.5,9071.5,-4.0,5.09,2.93,1.7372013651877132
341.5,9071.5,-8.0,5.26,3.02,1.7417218543046358
341.5,9071.5,-12.0,5.9,3.295,1.7905918057663128
341.5,9071.5,-16.0,6.48,3.655,1.7729138166894667
341.5,9071.5,-20.0,6.54,3.8,1.7210526315789474
341.5,9071.5,-24.0,6.985,4.09,1.7078239608801957
341.5,9071.5,-28.0,7.43,4.38,1.6963470319634704
341.5,9071.5,-52.0,7.43,4.38,1.6963470319634704
341.5,9074.5,8.0,2.64,1.97,1.3401015228426396
341.5,9074.5,4.0,2.64,1.97,1.3401015228426396
341.5,9074.5,0.0,3.595,2.325,1.5462365591397849
341.5,9074.5,-4.0,5.09,2.93,1.7372013651877132
341.5,9074.5,-8.0,5.26,3.02,1.7417218543046358
341.5,9074.5,-12.0,5.9,3.295,1.7905918057663128
341.5,9074.5,-16.0,6.48,3.655,1.7729138166894667
341.5,9074.5,-20.0,6.54,3.8,1.7210526315789474
341.5,9074.5,-24.0,6.985,4.09,1.7078239608801957
341.5,9074.5,-28.0,7.43,4.38,1.6963470319634704
341.5,9074.5,-52.0,7.43,4.38,1.6963470319634704
341.5,9077.5,8.0,2.64,1.97,1.3401015228426396
341.5,9077.5,4.0,2.64,1.97,1.3401015228426396
341.5,9077.5,0.0,3.595,2.325,1.5462365591397849
341.5,9077.5,-4.0,5.09,2.93,1.7372013651877132
341.5,9077.5,-8.0,5.26,3.02,1.7417218543046358
341.5,9077.5,-12.0,5.9,3.295,1.7905918057663128
341.5,9077.5,-16.0,6.48,3.655,1.7729138166894667
341.5,9077.5,-20.0,6.54,3.8,1.7210526315789474
